en,pt,tr,fr,es,title,speaker,duration,tags
"
","
","
","
","
",Can you solve the time travel riddle?,Daniel Finkel,3:49,"TED-Ed,math"
"
											Your internship in Professor Ramsey’s
physics lab has been amazing.
											Until, that is, the professor accidentally
stepped through a time portal.
											You’ve got just a minute to jump through
the portal to save him before it closes
											and leaves him stranded in history.
									","
											O teu estágio no laboratório de física
do Professor Ramsey tem sido fantástico,
											até que o professor entrou acidentalmente
por um portal do tempo.
											Tens apenas um minuto
para entrar no portal e salvá-lo,
											antes de ele se fechar
											e de o deixares preso na história.
									","
											Profesör Ramsey'in laboratuvarındaki 
stajyerliğin harikaydı.
											Ta ki profesör yanlışlıkla 
bir zaman geçidinden geçene kadar.
											Geçit kapanmadan önce içinden geçerek onu
tarihte mahsur kalmaktan kurtarmak için
											sadece bir dakikanız var.
									","
											Votre stage dans le labo de physique
du professeur Ramsey était génial.
											Enfin, jusqu'à ce que le professeur passe
accidentellement par un portail temporel.
											Vous n'avez qu'une minute pour sauter
par le portail avant qu'il ne se ferme
											et que le professeur
reste piégé dans le passé.
									","
											Tu pasantía en el laboratorio de física
del Profesor Ramsey fue increíble.
											Hasta que el profesor accidentalmente
atravesó un portal del tiempo.
											Tienes un minuto para saltar al portal
y salvarlo antes de que se cierre
											y lo deje varado en la historia.
									",Can you solve the time travel riddle?,Daniel Finkel,3:49,"TED-Ed,math"
"
","
","
","
","
",Can you solve the time travel riddle?,Daniel Finkel,3:49,"TED-Ed,math"
"
											Once you’re through it, 
the portal will close,
											and your only way back will be 
to create a new one
											using the chrono-nodules from your lab.
											Activated nodules connect to each other
											via red or blue tachyon entanglement.

											Activate more nodules and they’ll connect
											to all other nodules in the area.

											As soon as a red or blue triangle is
created with a nodule at each point,
											it opens a doorway through time that
will take you back to the present.
											But the color of each individual
connection manifests at random,

											and there’s no way to choose
or change its color.

									","
											Depois de lá entrares, o portal fecha-se
											e a única saída é criares um novo portal
											usando os nódulos do tempo do laboratório.
											Os nódulos ativados
ligam-se uns aos outros
											através de comunicação taquião
vermelha ou azul.
											Se ativares mais nódulos,
eles interligam-se
											a todos os outros nódulos na área.
											Logo que criares um triângulo
vermelho ou azul
											com um nódulo em cada ponta,
											ele abre uma porta no tempo
que te faz regressar ao presente.
											Mas a cor de cada ligação individual
manifesta-se ao acaso
											e não tens forma de escolher
ou de mudar a sua cor.
									","
											Bir kere içinden geçtiniz mi
geçit kapanacak
											ve geri dönüş için tek yolunuz
											laboratuvardaki zaman-taşlarını 
kullanarak yeni bir geçit oluşturmak.
											Etkinleştirilmiş taşlar birbirlerine
											mavi ya da kırmızı 
takiyon dolaşıklığıyla bağlanıyor.
											Ne kadar taş etkinleştirirseniz
											etraftaki diğer taşlarla bağlanacak.
											Her köşesinde taş olan bir 
kırmızı ya da mavi üçgen elde ettiğinizde
											zamanda sizi günümüze 
geri getirecek bir kapı açılıyor.
											Ama her bağlantının rengi 
rastgele ortaya çıkıyor
											ve rengini seçme 
ya da değiştirme şansınız yok.
									","
											Une fois entré, le portail se fermera
											et votre seule issue sera
d'en créer un autre
											avec les chrononodules de votre labo.
											Les nodules activés
se connectent entre eux
											via un lien énergétique rouge ou bleu.
											Activez plus de nodules
et ils se connecteront
											à tous les autres nodules à proximité.
											Dès qu'un triangle rouge ou bleu est créé
avec un nodule à chaque sommet,
											il ouvre une porte dans le temps
qui vous ramènera au présent.
											Mais la couleur
de chaque connexion est aléatoire
											et il n'y a pas moyen de choisir
ou de changer sa couleur.
									","
											Una vez que lo atravieses,
											el portal se cerrará y la única forma 
de volver será crear uno nuevo
											usando los crono-nódulos
de tu laboratorio.
											Los nódulos activos 
se conectan entre ellos
											mediante enlace de taquión rojo o azul.

											Activa más nódulos y se conectarán
											con todos los otros nódulos del área.
											Ni bien se crea un triángulo rojo o azul
con un nódulo en cada punta,
											se abre un portal del tiempo 
que te llevará de vuelta al presente.
											Pero el color de cada conexión
se manifiesta aleatoriamente,
											y no hay forma de elegir
o cambiar su color.
									",Can you solve the time travel riddle?,Daniel Finkel,3:49,"TED-Ed,math"
"
","
","
","
","
",Can you solve the time travel riddle?,Daniel Finkel,3:49,"TED-Ed,math"
"
											And there’s one more problem:
											each individual nodule creates a
temporal instability
											that raises the chances the portal
might collapse as you go through it.
											So the fewer you bring, the better.

											The portal’s about to close.
											What’s the minimum number of nodules 
you need to bring
											to be certain you’ll create a red or 
blue triangle and get back to the present?
									","
											E ainda há outro problema:
											cada nódulo individual cria
uma instabilidade temporal
											que aumenta a possibilidade de o portal
colapsar, quando lá entrares.
											Portanto, quantos menos levares, melhor.
											O portal está prestes a fechar-se.
											Qual é o menor número de nódulos
que precisas de levar
											para teres a certeza de que crias
um triângulo vermelho ou azul
											e regressas ao presente?
									","
											Bir sorun daha var:
											Her bir taş, siz tam içinden geçerken 
göçme ihtimali doğuran
											geçici bir istikrarsızlık oluşturuyor.
											Yani yanınıza ne kadar az 
taş alırsanız o kadar iyi.
											Geçit kapanmak üzere.
											Kesinlikle mavi ya da kırmızı bir 
üçgen oluşturarak günümüze dönmenize
											yardımcı olacak en az taş sayısı kaçtır?
									","
											Il y a un autre problème :
											chaque nodule crée
une instabilité temporelle
											qui augmente les risques que le portail
s'effondre pendant votre passage.
											Moins vous en amenez, mieux c'est.
											Le portail va se fermer.
											Quel est le nombre minimum de nodules
qu'il vous faut amener
											pour être sûr de créer un triangle rouge
ou bleu et de revenir au présent ?
									","
											Hay un problema más:
											cada nódulo individual crea
una inestabilidad temporal que aumenta
											las probabilidades de que el portal
colapse mientras lo atraviesas.
											Cuanto menos traigas, mejor.
											El portal está a punto de cerrarse.
											¿Cuál es el número mínimo de nódulos
que necesitas para asegurarte de crear
											un triángulo rojo o azul
y volver al presente?
									",Can you solve the time travel riddle?,Daniel Finkel,3:49,"TED-Ed,math"
"
","
","
","
","
",Can you solve the time travel riddle?,Daniel Finkel,3:49,"TED-Ed,math"
"
											Pause here if you want to figure it out for yourself!
											Answer in: 3
											Answer in: 2
											Answer in: 1
									","
											[Suspende aqui o vídeo,
se quiseres descobrir sozinho.
											[Resposta em: 3
											[Resposta em: 2
											[Resposta em; 1]
									","
											Eğer kendiniz çözmek istiyorsanız 
burada durdurun!
											3 saniye sonra cevap verilecek!
											2 saniye sonra cevap verilecek!
											1 saniye sonra cevap verilecek!
									","
											Mettez en pause ici si vous voulez
trouver la solution par vous-même.
											Réponse dans : 3
											Réponse dans : 2
											Réponse dans : 1
									","
											Pon pausa si quieres descubrirlo solo.
											Respuesta en: 3
											Respuesta en: 2
											Respuesta en: 1
									",Can you solve the time travel riddle?,Daniel Finkel,3:49,"TED-Ed,math"
"
","
","
","
","
",Can you solve the time travel riddle?,Daniel Finkel,3:49,"TED-Ed,math"
"
											This question is so rich that an entire
branch of mathematics
											known as Ramsey Theory developed from it.
											Ramsey Theory is home to some
famously difficult problems.

											This one isn’t easy, but it can be handled
											if you approach it systematically.

											Imagine you brought just three nodules.
									","
											Esta questão é tão rica que há
todo um ramo de matemática
											conhecido por Teoria de Ramsey,
baseado nela.
											A Teoria de Ramsey contém alguns
problemas de dificuldade famosa.
											Este não é fácil, mas pode ser resolvido
											se o abordares de forma sistemática.
											Imagina que levas apenas três nódulos.
									","
											Bu soru öylesine zengin ki
Ramsey Teorisi denilen bir dalın tamamı
											ondan geliştirildi.
											Ramsey Teorisi, birçok meşhur 
zor problemin ev sahipliğini yapıyor.
											Bu seferki de kolay değil 
ama eğer sistemli yaklaşılırsa
											baş edilebilir.
											Sadece üç tane
taş getirdiğinizi hayal edin.
									","
											Cette question est si riche
que toute une branche des mathématiques
											appelée la théorie de Ramsey en découle.
											La théorie de Ramsey recueille
certains problèmes célèbres et difficiles.
											Celui-ci n'est pas facile
mais il peut être réésolu
											si vous l'approchez de façon systématique.
											Imaginez que vous n'ayez amené
que trois nodules.
									","
											Esta pregunta es tan rica que una rama
entera de las matemáticas conocida
											como la teoría de Ramsey 
surgió de ahí.
											La teoría de Ramsey aloja algunos
problemas famosamente difíciles.
											Este no es fácil, pero puede resolverse
											si lo abordas sistemáticamente.
											Imagina que solo trajiste tres nódulos.
									",Can you solve the time travel riddle?,Daniel Finkel,3:49,"TED-Ed,math"
