en,es,tr,pt,fr,title,speaker,duration,tags
"
","
","
","
","
","Looking for a job? Highlight your ability, not your experience",Jason Shen,6:30,"TED Residency,work,work-life balance,education,business,decision-making,personal growth,success,productivity"
"
											You know who I'm envious of?
											People who work in a job
that has to do with their college major.
									","
											¿Saben a quiénes envidio?
											A quienes tienen empleos
relacionados con lo que estudiaron.
									","
											Neye imreniyorum biliyor musunuz?
											Okudukları bölümle ilgili
bir işte çalışan insanlara.
									","
											Sabem de quem tenho inveja?
											Das pessoas que trabalham naquilo
que tem a ver com a sua formação.
									","
											Vous savez de qui je suis jaloux ?
											Des gens qui ont un travail en lien
avec leur discipline universitaire.
									","Looking for a job? Highlight your ability, not your experience",Jason Shen,6:30,"TED Residency,work,work-life balance,education,business,decision-making,personal growth,success,productivity"
"
","
","
","
","
","Looking for a job? Highlight your ability, not your experience",Jason Shen,6:30,"TED Residency,work,work-life balance,education,business,decision-making,personal growth,success,productivity"
"
											(Laughter)
									","
											(Risas)
									","
											(Kahkahalar)
									","
											(Risos)
									","
											(Rires)
									","Looking for a job? Highlight your ability, not your experience",Jason Shen,6:30,"TED Residency,work,work-life balance,education,business,decision-making,personal growth,success,productivity"
"
","
","
","
","
","Looking for a job? Highlight your ability, not your experience",Jason Shen,6:30,"TED Residency,work,work-life balance,education,business,decision-making,personal growth,success,productivity"
"
											Journalists who studied journalism,
											engineers who studied engineering.
											The truth is, these folks
are no longer the rule,
											but the exception.
											A 2010 study found that
only a quarter of college graduates
											work in a field
that relates to their degree.
									","
											Los periodistas que estudiaron periodismo,
											los ingenieros que estudiaron ingeniería.
											La verdad es que ellos ya no son la regla,
											sino la excepción.
											Un estudio del 2010 halló que
solo un cuarto de los graduados
											trabaja en un campo
relacionado con su carrera.
									","
											Gazetecilik okuyan gazeteciler,
											mühendislik okuyan mühendisler.
											Gerçek şu ki
bu insanlar artık kaide değil,
											onlar istisna.
											2010 yılında yapılan bir araştırma
mezunların sadece dörtte birinin
											alanlarıyla ilgili bir işte
çalıştıklarını gösterdi.
									","
											Jornalistas que estudaram jornalismo,
											engenheiros que estudaram engenharia.
											A verdade é que essas pessoas
já não são a norma, mas a exceção.
											Um estudo de 2010 descobriu que
apenas um quarto dos formados
											trabalha numa área
relacionada com o seu curso.
									","
											Les journalistes
ayant étudié le journalisme,
											les ingénieurs ayant étudié l'ingénierie.
											En vérité, ces gens ne sont plus la règle
											mais sont l'exception.
											Une étude de 2010 a révélé
qu'un quart des diplômés universitaires
											travaille dans un domaine
en lien avec leur diplôme.
									","Looking for a job? Highlight your ability, not your experience",Jason Shen,6:30,"TED Residency,work,work-life balance,education,business,decision-making,personal growth,success,productivity"
"
","
","
","
","
","Looking for a job? Highlight your ability, not your experience",Jason Shen,6:30,"TED Residency,work,work-life balance,education,business,decision-making,personal growth,success,productivity"
"
											I graduated with not one
but two degrees in biology.
											To my parents' dismay,
I am neither a doctor nor a scientist.
									","
											Yo me gradué no con uno
sino con dos títulos en biología.
											Para desazón de mis padres,
no soy doctor ni científico.
									","
											İki biyoloji derecesiyle
mezun oldum.
											Ailemi şaşırtarak
ne doktor ne de bilim insanı oldum.
									","
											Formei-me não com um, mas com
dois graus académicos em biologia.
											Para desgosto dos meus pais,
não sou nem médico nem cientista.
									","
											J'ai non pas un
mais deux diplômes en biologie.
											Au désarroi de mes parents,
je ne suis ni médecin ni scientifique.
									","Looking for a job? Highlight your ability, not your experience",Jason Shen,6:30,"TED Residency,work,work-life balance,education,business,decision-making,personal growth,success,productivity"
"
","
","
","
","
","Looking for a job? Highlight your ability, not your experience",Jason Shen,6:30,"TED Residency,work,work-life balance,education,business,decision-making,personal growth,success,productivity"
"
											(Laughter)
									","
											(Risas)
									","
											(Kahkahalar)
									","
											(Risos)
									","
											(Rires)
									","Looking for a job? Highlight your ability, not your experience",Jason Shen,6:30,"TED Residency,work,work-life balance,education,business,decision-making,personal growth,success,productivity"
"
","
","
","
","
","Looking for a job? Highlight your ability, not your experience",Jason Shen,6:30,"TED Residency,work,work-life balance,education,business,decision-making,personal growth,success,productivity"
"
											Years of studying DNA replication
and photosynthesis
											did little to prepare me
for a career in technology.
											I had to teach myself everything
from sales, marketing, strategy,
											even a little programming, on my own.
											I had never held the title
of Product Manager
											before I sent my resume in to Etsy.
											I had already been turned down
by Google and several other firms
											and was getting frustrated.
											The company had recently gone public,
											so as part of my job application,
											I read the IPO filings from cover to cover
											and built a website from scratch
which included my analysis of the business
											and four ideas for new features.
											It turned out the team was actively
working on two of those ideas
											and had seriously considered a third.
											I got the job.
									","
											Años de estudiar la replicación 
del ADN y la fotosíntesis
											poco me prepararon para
una carrera en tecnología.
											Tuve que aprender todo por mi cuenta:
ventas, marketing, estrategia,
											incluso un poco de programación, yo solo.
											Nunca había tenido el título
de Jefe de Producto
											antes de enviar mi currículo a Etsy.
											Ya me habían rechazado Google
y varias otras compañías
											y me estaba frustrando.
											La compañía había entrado
al mercado hacía poco,
											por eso como parte 
de mi solicitud de trabajo
											leí su oferta pública inicial 
de cabo a rabo
											y diseñé un sitio web desde cero
que incluía mi análisis del negocio
											y cuatro ideas de nuevas funciones.
											Resultó ser que el equipo estaba
trabajando activamente en dos de esas
											y estaba considerando seriamente otra.
											Conseguí el empleo.
									","
											DNA replikasyonu ve fotosentez
üzerine yıllarca okumak
											teknoloji alanında çalışmak için
beni pek hazırlayamadı.
											Satış, pazarlama, stratejiden
biraz programlamaya kadar
											her şeyi kendi kendime 
öğrenmek zorunda kaldım.
											Etsy'ye özgeçmişimi göndermeden önce
											hiç ''Ürün Yetkilisi'' olmamıştım.
											Google ve birkaç diğer şirket
zaten beni geri çevirmişti
											ve moralim bozulmaya başlamıştı.
											Şirket daha yeni kamuya açılmıştı,
											başvurumun bir parçası olarak
											IPO dosyalarını cilt cilt okudum
											ve içinde işletmenin analizi
ve yeni özelliklere dair dört fikir olan
											sıfırdan bir internet sitesi kurdum.
											Görünen o ki ekip aktif olarak
o fikirlerin ikisi üzerinde çalışıyormuş
											ve üçüncüsü gerçekten dikkatlerini çekmiş.
											İşi aldım.
									","
											Anos a estudar a duplicação do ADN
e a fotossíntese pouco fizeram
											para me preparar para
uma carreira na tecnologia.
											Tive de ensinar tudo a mim próprio
desde vendas, ""marketing"", estratégia,
											até um pouco de programação,
por minha conta.
											Nunca tive o título de
Gestor de Produto
											antes de enviar
o meu currículo para a Etsy.
											Já tinha sido rejeitado pela Google
e por várias outras empresas
											e estava a ficar frustrado.
											A empresa tinha-se tornado
pública há pouco tempo
											e como parte da minha candidatura
											li os arquivos da Oferta Pública Inicial
de ponta a ponta.
											Construí um ""site"" de raiz
que incluía a minha análise do negócio
											e quatro ideias para novos aspetos.
											Aconteceu que a equipa estava a trabalhar
ativamente em duas dessas ideias
											e tinha considerado
seriamente uma terceira.
											Consegui o emprego.
									","
											Les années d'études en réplication
de l'ADN et de la photosynthèse
											ne m'ont pas préparé
à une carrière dans la technologie.
											J'ai dû tout apprendre tout seul :
la vente, le marketing, la stratégie
											et même un peu de programmation.
											Je n'avais jamais eu le poste
de chef de produit
											avant d'avoir envoyé mon CV à Etsy.
											J'avais déjà été rejeté par Google
et d'autres entreprises
											et j'étais frustré.
											L'entreprise était récemment
devenue publique
											et, pour ma candidature,
											j'avais lu l'introduction en bourse
d'un bout à l'autre
											et créé entièrement un site
incluant mon analyse de l'entreprise
											et quatre nouvelles idées.
											Il s'est avéré que l'équipe travaillait
activement sur deux de ces idées
											et en avait considéré une troisième.
											J'ai obtenu le poste.
									","Looking for a job? Highlight your ability, not your experience",Jason Shen,6:30,"TED Residency,work,work-life balance,education,business,decision-making,personal growth,success,productivity"
"
","
","
","
","
","Looking for a job? Highlight your ability, not your experience",Jason Shen,6:30,"TED Residency,work,work-life balance,education,business,decision-making,personal growth,success,productivity"
"
											We all know people who were ignored
or overlooked at first
											but went on to prove their critics wrong.
											My favorite story?
											Brian Acton, an engineering manager
											who was rejected
by both Twitter and Facebook
											before cofounding WhatsApp,
											the mobile messaging platform
that would sell for 19 billion dollars.
									","
											Todos conocemos casos de personas
que fueron ignoradas al principio
											pero terminaron derrotando a los críticos.
											¿Mi historia favorita?
											La de Brian Acton, 
un gerente de ingeniería
											rechazado por Twitter y por Facebook
											antes de cofundar WhatsApp,
											la aplicación de mensajería móvil que 
luego se vendió por USD 19 000 millones.
									","
											Hepimiz önce görmezden gelinen
ve küçümsenen
											sonra haklılığını kanıtlayan 
insanları biliyoruz.
											En sevdiğim hikâye mi?
											Mühendislik yetkilisi Brian Acton
											piyasa değeri 19 milyar dolar olan
mesajlaşma platformu
											Whatsapp'ın eş kurucusu olmadan önce
											hem Twitter hem de Facebook
tarafından reddedilmişti.
									","
											Todos conhecemos pessoas
que foram ignoradas ou esquecidas
											mas acabaram por provar
que os críticos estavam errados.
											A minha história favorita?
											Brian Acton, um gestor de engenharia
											que foi rejeitado
pelo Twitter e pelo Facebook
											antes de ser cofundador do WhatsApp,
											a plataforma de mensagens que seria
vendida por 19 mil milhões de dólares.
									","
											Nous connaissons tous des gens
ayant été ignorés ou négligés au début
											mais qui ont progressé
et démenti les critiques.
											Mon histoire préférée ?
											Brian Acton, un responsable en ingénierie,
											qui a été rejeté par Twitter et Facebook
											avant de cofonder WhatsApp,
											la plateforme de messagerie mobile
vendue à 19 milliards de dollars.
									","Looking for a job? Highlight your ability, not your experience",Jason Shen,6:30,"TED Residency,work,work-life balance,education,business,decision-making,personal growth,success,productivity"
"
","
","
","
","
","Looking for a job? Highlight your ability, not your experience",Jason Shen,6:30,"TED Residency,work,work-life balance,education,business,decision-making,personal growth,success,productivity"
"
											The hiring systems we built
in the 20th century are failing us
											and causing us to miss out
on people with incredible potential.
											The advances in robotics
and machine learning
											and transforming the way we work,
											automating routine tasks
in many occupations
											while augmenting and amplifying
human labor in others.
											At this rate, we should all be expecting
to do jobs we've never done before
											for the rest of our careers.
											So what are the tools
and strategies we need
											to identify tomorrow's high performers?
											In search for answers, I've consulted
with leaders across many sectors,
											read dozens of reports and research papers
											and conducted some of my own
talent experiments.
											My quest is far from over,
											but here are three ideas to take forward.
									","
											La forma de contratar que construimos 
en el siglo XX nos falla
											y produce que dejemos ir a personas 
con un potencial increíble.
											Los avances en robótica 
y aprendizaje máquina
											cambian la forma en que trabajamos,
											automatizando las tareas rutinarias 
de muchos trabajos
											a la vez que aumentan y amplifican 
la labor humana en otros.
											A este ritmo, todos deberíamos contar
con hacer trabajos que nunca hicimos
											durante el resto de nuestra carrera.
											Entonces ¿qué herramientas necesitamos
											para identificar a los genios del mañana?
											Buscando respuestas a esta pregunta me
comuniqué con líderes de muchos sectores,
											leí decenas de reseñas 
y trabajos de investigación
											y realicé mis propios experimentos 
sobre el talento.
											Mi búsqueda está muy lejos de terminar,
											pero aquí hay tres ideas
para tener en cuenta;
									","
											20. yüzyılda oluşturduğumuz
iş alım sistemleri başarısız oluyor
											ve inanılmaz potansiyele sahip
insanları kaçırmamıze sebep oluyor.
											Robotik ve makine öğreniminde
ilerlemeler
											ve çalışma şeklimizin dönüşümü
											pek çok meslekte rutin işleri
otomatik bir hâle getirirken
											diğer işlerde insan gücünü
güçlendiriyor ve artırıyor.
											Bu oranla hepimiz kariyerimizin 
sonuna kadar daha öne hiç yapmadığımız
											işleri yapmayı beklemeliyiz.
											Geleceğin etkili çalışanlarını
belirlemek için
											ne tür araç ve stratejilere
ihtiyacımız var?
											Bu soruya yanıt ararken
birçok sektörden lidere danıştım,
											onlarca araştırma ve rapor okudum
											ve kendi yetenek deneylerimi yaptım.
											Araştırmam daha çok sürecek
											ama adım atmamız için üç fikrim var.
									","
											Os sistemas de contratação
do século XX estão a falhar
											e a fazer-nos perder pessoas
com potencial incrível.
											Os avanços em robótica
e na aprendizagem das máquinas
											estão a transformar
a forma de trabalhar,
											automatizando tarefas de rotina
em muitas profissões
											ao mesmo tempo que aumentam
e amplificam o trabalho humano noutras.
											A este ritmo, todos devemos esperar
ter empregos que nunca tivemos antes
											no resto da nossa carreira.
											Quais são as estratégias
de que precisamos
											para identificar
os grandes talentos do futuro?
											Na procura de respostas,
consultei líderes de muitos setores,
											li dezenas de relatórios
e trabalhos de pesquisa
											e realizei algumas das minhas
experiências de talento.
											A minha missão está longe de terminar,
											mas aqui estão três ideias a ter em conta.
									","
											Les systèmes d'embauche établis
au XXe siècle sont défaillants
											et nous font passer à côté
de gens ayant un potentiel incroyable.
											Les avancées en robotique
et apprentissage de la machine
											changent notre façon de travailler,
											automatisant des tâches routinières
dans beaucoup d'emplois
											tout en augmentant et amplifiant
la main d’œuvre humaine dans d'autres.
											A ce rythme, nous devrions nous attendre
à faire des travaux jamais vus avant
											durant le reste de notre carrière.
											Quels sont les outils
et les stratégies nécessaires
											pour identifier les gens
très performants demain ?
											A la recherche de réponses, j'ai contacté
des dirigeants dans de nombreux secteurs,
											lu des douzaines de rapports
et d'articles de recherche
											et conduit mes propres
tests de talent.
											Ma quête est loin d'être finie
											mais voici les trois idées
que j'aimerais avancer.
									","Looking for a job? Highlight your ability, not your experience",Jason Shen,6:30,"TED Residency,work,work-life balance,education,business,decision-making,personal growth,success,productivity"
"
","
","
","
","
","Looking for a job? Highlight your ability, not your experience",Jason Shen,6:30,"TED Residency,work,work-life balance,education,business,decision-making,personal growth,success,productivity"
