pt,tr,en,fr,de,title,speaker,duration,tags
"
","
","
","
","
",Why our universe might exist on a knife-edge,Gian Giudice,14:10,"String theory,TEDx,physics,science,universe,nanoscale,dark matter,exploration,energy"
"
											No ano passado, no dia 4 de julho,
											experiências no 
Grande Colisionador de Hadrões [GCH]
											descobriram o bosão de Higgs.
											Foi um dia histórico.
											Não há dúvida de que, de agora em diante,
											o dia 4 de julho será lembrado
											não como o dia da 
Declaração da Independência (EUA),
											mas como o dia da descoberta do bosão de Higgs.
											Bem, pelo menos aqui no CERN.
									","
											Geçen yıl, 4 Temmuz'da,
											Büyük Hadron Çarpıştırıcısı'ndaki deneylerde
											Higgs bozonu keşfedildi.
											Tarihi bir gündü.
											Şüphe yok ki bundan sonra,
											4 Temmuz, Bağımsızlık Günü olarak değil,
											Higgs bozonunun keşfedildiği gün olarak
											hatırlanacak.
											En azından, burda CERN'de.
									","
											So last year, on the Fourth of July,
											experiments at the Large Hadron Collider
											discovered the Higgs boson.
											It was a historical day.
											There's no doubt that from now on,
											the Fourth of July will be remembered
											not as the day of the Declaration of Independence,
											but as the day of the discovery of the Higgs boson.
											Well, at least, here at CERN.
									","
											L'année dernière, le 4 juillet,
											suite à des recherches
au Large Hadron Collider,
											le boson de Higgs a été découvert.
											Ce fut un jour historique.
											Il n'y a aucun doute que, désormais,
											on se souviendra du 4 juillet
											non pas comme étant le jour 
de la Déclaration d'Indépendance des Etats-Unis
											mais comme le jour 
de la découverte du boson de Higgs.
											Enfin, du moins, ici, au CERN.
									","
											Letztes Jahr, am 4. Juli,
											wurde beim Experiment 
am Large Hadron Collider
											das Higgs-Boson entdeckt.
											Es war ein historischer Tag.
											Zweifellos wird man sich von nun an,
											an den 4. Juli
											nicht als den Unabhängigkeitstag 
der Vereinigten Staaten erinnern,
											sondern als den der Entdeckung 
des Higgs-Bosons.
											Zumindest hier am CERN.
									",Why our universe might exist on a knife-edge,Gian Giudice,14:10,"String theory,TEDx,physics,science,universe,nanoscale,dark matter,exploration,energy"
"
","
","
","
","
",Why our universe might exist on a knife-edge,Gian Giudice,14:10,"String theory,TEDx,physics,science,universe,nanoscale,dark matter,exploration,energy"
"
											Mas para mim, a maior surpresa desse dia
											foi não ter havido nenhuma grande surpresa.
											Na perspetiva de um físico teórico
											o bosão de Higgs é uma explicação inteligente
											de como algumas partículas elementares 
ganham massa,
											mas parece uma solução bastante
											insatisfatória e incompleta.
											Demasiadas perguntas são deixadas 
sem resposta.
											O bosão de Higgs não partilha a beleza,
											a simetria, a elegância,
											do resto do mundo das partículas elementares.
											Por esta razão, a maioria dos físicos teóricos
											acredita que o bosão de Higgs não poderia
											ser a história toda.
											Estávamos à espera de novas 
partículas e novos fenómenos
											associados ao bosão de Higgs.
											Em vez disso, até agora, as medições
											vindas do GCH não mostram sinais 
de novas partículas
											ou fenómenos inesperados.
									","
											Ama benim için, günün en büyük sürprizi
											aslında sürpriz yaşamamış olmamdı.
											Bir teorik fizikçinin gözünde,
											Higgs bozonu, temel parçacıkların
											nasıl kütle kazandığına dair zekice bir açıklamadır,
											ama oldukça başarısız ve eksik
											bir çözüm olarak görünür.
											Cevaplanmamış çok fazla soru var.
											Higgs bozonu, temel parçacıklar dünyasının
											geri kalanının sahip olduğu güzelliği,
											simetriyi ve şıklığı taşımaz.
											Bu nedenle, teorik fizikçilerin büyük çoğunluğu
											Higgs bozonunun, hikayenin tamamı
											olmadığına inanmaktadır.
											Higgs bozonuna eşlik eden yeni parçacıklar
											ve yeni fenomenler bekliyorduk.
											Yerine, şimdiye kadar, LHC'den gelen ölçümler
											ne yeni parçacıklardan ne de beklenmeyen fenomenlerden
											izler taşıyor.
									","
											But for me, the biggest surprise of that day
											was that there was no big surprise.
											In the eye of a theoretical physicist,
											the Higgs boson is a clever explanation
											of how some elementary particles gain mass,
											but it seems a fairly unsatisfactory
											and incomplete solution.
											Too many questions are left unanswered.
											The Higgs boson does not share the beauty,
											the symmetry, the elegance,
											of the rest of the elementary particle world.
											For this reason, the majority of theoretical physicists
											believe that the Higgs boson could not
											be the full story.
											We were expecting new particles and new phenomena
											accompanying the Higgs boson.
											Instead, so far, the measurements
											coming from the LHC show no signs of new particles
											or unexpected phenomena.
									","
											Mais pour moi, 
la plus grande surprise de cette journée
											fut qu'il n'y a pas eu de grande surprise.
											Du point de vue d'un physicien théoricien,
											le boson de Higgs est une explication intelligente
											de la façon dont certaines particules élémentaires
gagnent de la masse,
											mais c'est une solution qui semble incomplète
											et assez peu satisfaisante.
											Trop de questions restent sans réponses.
											Le boson de Higgs n'a pas la beauté,
											la symétrie, l'élégance,
											du monde des particules élémentaires.
											Pour cette raison, 
la majorité des physiciens théoriciens
											estime que le boson de Higgs
											n'explique pas tout.
											Nous nous attendions à de nouvelles particules,
de nouveaux phénomènes,
											accompagnant le boson de Higgs.
											Mais, pour l'instant, rien dans les mesures
provenant du LHC
											ne laisse penser que de nouvelles particules
											ou des phénomènes inattendus vont apparaître.
									","
											Aber die größte Überraschung 
für mich an diesem Tag war,
											dass es eigentlich 
keine große Überraschung war.
											In den Augen 
eines theoretischen Physikers
											ist das Higgs-Boson eine kluge Erklärung,
											wie einige Elementarteilchen Masse 
erhalten,
											aber es scheint eine wenig 
zufriedenstellende
											und unvollständige Lösung zu sein.
											Zu viele Frage bleiben unbeantwortet.
											Das Higgs-Boson teilt nicht die Schönheit,
											die Symmetrie und die Eleganz
											der übrigen Welt der Elementarteilchen.
											Daher glaubt die Mehrheit der 
theoretischen Physiker,
											dass das Higgs-Boson nicht
											alles sein kann.
											Wir erwarteten neue Partikel 
und neue Phänomene
											in Begleitung des Higgs-Bosons.
											Stattdessen haben die Messungen
											vom LHC bislang weder Anzeichen 
neuer Partikel erkennen lassen,
											noch sonstige unerwartete Phänomene 
offengelegt.
									",Why our universe might exist on a knife-edge,Gian Giudice,14:10,"String theory,TEDx,physics,science,universe,nanoscale,dark matter,exploration,energy"
"
","
","
","
","
",Why our universe might exist on a knife-edge,Gian Giudice,14:10,"String theory,TEDx,physics,science,universe,nanoscale,dark matter,exploration,energy"
"
											Claro, o veredicto não é definitivo.
											Em 2015, o GCH quase que duplicará
											a energia dos protões em colisão,
											e estas colisões mais poderosas
											permitir-nos-ão explorar 
ainda mais o mundo das partículas,
											e nós certamente vamos aprender muito mais.
									","
											Tabii ki, bu karar kesin değil.
											2015'te, LHC, çarpıştırılan protonların
											enerjisini nerdeyse iki katına çıkartacak,
											ve bu güçlü çarpıştırmalar, parçacık dünyasını
											daha yakından keşfetmemize olanak sağlayacak
											ve tabii ki çok daha fazla şey öğreneceğiz.
									","
											Of course, the verdict is not definitive.
											In 2015, the LHC will almost double
											the energy of the colliding protons,
											and these more powerful collisions
											will allow us to explore further the particle world,
											and we will certainly learn much more.
									","
											Bien sûr, le verdict n'est pas définitif.
											En 2015, le LHC doublera presque l'énergie
											de la collision entre protons,
											et ces collisions encore plus puissantes
											nous permettront d'explorer plus avant 
le monde des particules,
											et nous en apprendrons certainement
beaucoup plus.
									","
											Natürlich ist das Urteil nicht endgültig.
											2015 wird der LHC die Energie
											kollidierender Protonen nahezu verdoppeln
											und diese mächtigeren Kollisionen
											erlauben uns die weitere 
Ergründung der Partikelwelt
											und wir werden sicher viel mehr lernen.
									",Why our universe might exist on a knife-edge,Gian Giudice,14:10,"String theory,TEDx,physics,science,universe,nanoscale,dark matter,exploration,energy"
"
","
","
","
","
",Why our universe might exist on a knife-edge,Gian Giudice,14:10,"String theory,TEDx,physics,science,universe,nanoscale,dark matter,exploration,energy"
"
											Mas para já, uma vez que 
nós não encontramos
											nenhuma evidência para os novos 
fenómenos, vamos supor
											que as partículas que conhecemos hoje,
											incluindo o bosão de Higgs,
											são as únicas partículas elementares na Natureza,
											mesmo a energias mais altas
											do que o que temos explorado até agora.
											Vamos ver onde esta hipótese nos vai levar.
											Vamos encontrar um resultado 
surpreendente e intrigante
											sobre o nosso universo,
e para explicar aonde quero chegar,
											deixem-me primeiro dizer-vos o que é 
o bosão de Higgs,
											e para isso, teremos que voltar
											a um décimo de um bilionésimo de segundo
											após o Big Bang.
											E de acordo com a teoria de Higgs,
											naquele instante, ocorreu um evento dramático
											no universo.
											O espaço-tempo passou por uma fase de transição.
											Foi algo muito parecido com a transição de fase
											que ocorre quando a água se transforma em gelo
											abaixo de zero graus.
											Mas no nosso caso, a transição de fase
											não é uma alteração na forma de
como as moléculas
											estão organizadas dentro do material,
											mas sim de uma mudança
											do próprio tecido do espaço-tempo.
									","
											Ama şimdilik, yeni fenomenlere dair
											herhangi bir kanıt bulamadığımızdan,
											Higgs bozonu da dahil olmak üzere
											bugün bildiğimiz parçacıkların
											doğada, bugüne kadar ulaşılan enerjilerden
											çok daha yüksek seviyelerde bile
											bulunabilen tek parçacıklar olduğunu varsayalım.
											Bu hipotezin bizi nereye götürdüğüne bakalım.
											Evrenimiz hakkında şaşırtıcı ve ilgi çekici
											bir sonuca ulaşacağız, ve bakış açımı gösterebilmek adına
											izin verin önce Higgs'in ne olduğunu anlatayım,
											ve bunu yapmak için de, Big Bang&amp;#x27;den
											saniyenin on milyarda biri kadar sonraya
											gitmemiz gerekiyor.
											Ve Higgs teorisine göre,
											tam o anda, evrende dramatik
											bir an yaşandı.
											Uzay-zamanda bir faz geçişi yaşandı.
											Bu olay, sıfırın altındaki derecelerde
											suyun buza dönüşmesi gibi bir faz geçişine
											çok benziyordu.
											Ama bizim durumda, faz geçişi
											moleküllerin madde içindeki dağılımının
											değişimiyle alakalı değildi,
											ama uzay-zamanın kendi dokusunda
											oluşan bir değişimdi.
									","
											But for the moment, since we have found
											no evidence for new phenomena, let us suppose
											that the particles that we know today,
											including the Higgs boson,
											are the only elementary particles in nature,
											even at energies much larger
											than what we have explored so far.
											Let's see where this hypothesis is going to lead us.
											We will find a surprising and intriguing result
											about our universe, and to explain my point,
											let me first tell you what the Higgs is about,
											and to do so, we have to go back
											to one tenth of a billionth of a second
											after the Big Bang.
											And according to the Higgs theory,
											at that instant, a dramatic event took place
											in the universe.
											Space-time underwent a phase transition.
											It was something very similar to the phase transition
											that occurs when water turns into ice
											below zero degrees.
											But in our case, the phase transition
											is not a change in the way the molecules
											are arranged inside the material,
											but is about a change
											of the very fabric of space-time.
									","
											Mais pour l'instant,
vu que nous n'avons trouvé aucune trace
											de nouveaux phénomènes,
											on supposera que les particules
que nous connaissons aujourd'hui,
											dont le boson de Higgs,
											sont les seules particules élémentaires 
dans la nature,
											même à des énergies beaucoup plus grandes
											que ce que nous avons explorées
jusqu'à présent.
											Voyons où cette hypothèse nous conduit.
											Nous allons trouver 
un résultat surprenant et intriguant
											concernant notre univers,
et afin de bien me faire comprendre,
											laissez-moi d'abord vous expliquer
ce qu'est le boson de Higgs.
											Pour cela, nous devons retourner
											à un dixième de milliardième de seconde
											après le Big Bang.
											Selon la théorie de Higgs,
											à ce moment-là, 
un événement spectaculaire s'est produit
											dans l'univers.
											L'espace-temps a subi
une transition de phase.
											Ça a été quelque chose de très similaire 
à la transition de phase
											qui se produit
lorsque l'eau se transforme en glace
											en dessous de zéro degrés.
											Mais dans notre cas,
la transition de phase
											n'est pas un changement
dans la façon dont les molécules
											sont arrangées dans la matière,
											mais c'est un changement
											du continuum même de l'espace-temps.
									","
											Aber da wir für den Moment nichts 
gefunden haben,
											das neue Phänomene belegt, 
nehmen wir einmal an,
											dass die Partikel, die wir heute kennen,
											das Higgs-Boson eingeschlossen,
											die einzigen Elementarteilchen 
in der Natur sind,
											sogar bei viel höherer Energie,
											als wir bislang erforscht haben.
											Schauen wir mal, 
wo uns diese Hypothese hinführt.
											Wir werden ein überraschendes 
und fesselndes Ergebnis
											über unser Universum bekommen. 
Zum besseren Verständnis
											lassen Sie mich zunächst 
das Higgs erklären.
											Dazu müssen wir zu
											einem Zehntel einer Milliardstel Sekunde
											nach dem Urknall zurückkehren.
											Nach der Higgs Theorie
											fand im Universum zu jenem Zeitpunkt
											ein dramatisches Ereignis statt.
											Die Raumzeit durchlief einen 
Phasenübergang.
											Er war dem Phasenübergang sehr ähnlich,
											der sich beim Wandel von Wasser zu Eis
											unterhalb Null Grad vollzieht.
											Aber jener Phasenübergang
											war keine Änderung des Zustands
											der in der Materie angeordneten Moleküle,
											sondern eine Änderung
											im Gewebe der Raumzeit selbst.
									",Why our universe might exist on a knife-edge,Gian Giudice,14:10,"String theory,TEDx,physics,science,universe,nanoscale,dark matter,exploration,energy"
"
","
","
","
","
",Why our universe might exist on a knife-edge,Gian Giudice,14:10,"String theory,TEDx,physics,science,universe,nanoscale,dark matter,exploration,energy"
"
											Durante esta fase de transição, o espaço vazio
											tornou-se repleto de uma substância
											que hoje chamamos de campo de Higgs.
											E esta substância pode parecer invisível para nós,
											mas tem uma realidade física.
											Ela rodeia-nos em todos os momentos,
											como o ar que respiramos nesta sala.
											E algumas partículas elementares interagem
											com esta substância, ganhando energia no processo.
											E essa energia intrínseca é o que chamamos
											de massa de uma partícula,
											e ao descobrir o bosão de Higgs, o GCH
											provou conclusivamente que esta substância é real,
											porque é o material de que são 
feitos os bosões de Higgs.
											E isto, em poucas palavras, 
é a essência da história de Higgs.
									","
											Bu faz geçişi sırasında, boş uzay
											şu anda Higgs alanı dediğimiz
											maddeyle doldu.
											Ve bu madde bizim için görünmez olsa da,
											aslında fiziksel bir gerçeklik.
											Bizi her zaman çevreliyor,
											aynı bu odada soluduğumuz hava gibi.
											Ve bazı temel parçacıklar bu maddeyle
											etkileşime giriyor ve bu işlem sırasında enerji kazanıyorlar.
											Ve bu esas enerji, bizim bir parçacığın kütlesi
											dediğimiz şey,
											ve Higgs bozonunu keşfederek, LHC
											kesin bir biçimde bu maddenin gerçekliğini kanıtladı,
											çünkü bu madde, Higgs bozonunu oluşturan şey.
											Ve bu, kısaca, Higgs öyküsünün temeli.
									","
											During this phase transition, empty space
											became filled with a substance
											that we now call Higgs field.
											And this substance may seem invisible to us,
											but it has a physical reality.
											It surrounds us all the time,
											just like the air we breathe in this room.
											And some elementary particles interact
											with this substance, gaining energy in the process.
											And this intrinsic energy is what we call
											the mass of a particle,
											and by discovering the Higgs boson, the LHC
											has conclusively proved that this substance is real,
											because it is the stuff the Higgs bosons are made of.
											And this, in a nutshell, is the essence of the Higgs story.
									","
											Pendant cette transition de phase,
											l'espace vide s'est rempli d'une substance
											que nous appelons maintenant
le champ de Higgs.
											Cette substance peut nous sembler invisible,
											mais elle a une réalité physique.
											Elle nous entoure tout le temps,
											tout comme l'air
que nous respirons dans cette salle.
											Et certaines des particules élémentaires
											réagissent avec cette substance
en gagnant de l'énergie.
											Cette énergie intrinsèque
est ce que nous appelons
											la masse d'une particule,
											et en découvrant le boson de Higgs,
											le LHC a prouvé
que cette substance était réelle,
											parce que c'est de ça 
dont les bosons de Higgs sont fait.
											Voilà, en résumé,
l'histoire de Higgs.
									","
											Während des Phasenübergangs 
wurde leerer Raum
											mit einer Substanz gefüllt,
											die wir jetzt Higgs-Feld nennen.
											Diese Substanz mag für uns 
unsichtbar erscheinen,
											doch sie ist von physischer Realität.
											Sie umgibt uns immer,
											wie die Luft, die wir in diesem Raum atmen.
											Einige Elementarteilchen interagieren
											mit dieser Substanz, gewinnen Energie 
im Prozess.
											Diese intrinsische Energie bezeichnen wir
											als die Masse eines Teilchens
											und mit der Entdeckung 
des Higgs-Bosons wurde am LHC
											eindeutig bewiesen, 
dass diese Substanz real ist,
											denn sie ist der Stoff, 
aus dem die Higgs-Bosonen bestehen.
											Dies ist, kurzum, 
das Wesentliche über das Higgs.
									",Why our universe might exist on a knife-edge,Gian Giudice,14:10,"String theory,TEDx,physics,science,universe,nanoscale,dark matter,exploration,energy"
