en,fr,tr,es,pt,de,title,speaker,duration,tags
"
","
","
","
","
","
",Can you solve the unstoppable blob riddle?,Daniel Finkel,3:24,"animation,TED-Ed,math"
"
											A shooting star crashes on Earth,
											and a hideous blob emerges.
											It creeps and leaps, it glides and slides.
											It’s also unstoppable:
											weapons, fire, extreme temperatures…
											no matter what you throw at it,
											it just regrows and continues its rampage.
									","
											Un météore s'écrase sur la Terre
											et un monstre gluant en émerge.
											Il rampe et bondit, glisse et serpente.
											Il est inarrêtable :
											les armes, le feu,
les températures extrêmes...
											peu importe ce que vous lui faites,
											il continue à grossir et à tout détruire.
									","
											Kayan bir yıldız Yeryüzüne çarptı
											ve çirkin bir toparlak meydana geldi.
											Sürünüyor ve zıplıyor, akıp kayıyordu.
											Ayrıca durdurulamazdı;
											silah, ateş ve yüksek sıcaklık...
											Ne fırlatırsan fırlat,
											tekrar büyüyor 
ve taşkınlığına devam ediyordu.
									","
											Una estrella fugaz se estrella
contra la Tierra
											y de allí surge una horrenda masa
											que se arrastra, salta, 
fluye y se desliza.
											También es imparable:
											armas, fuego, temperaturas extremas...
											no importa qué le arrojes,
											vuelve a crecer y continúa su ataque.
									","
											Uma estrela cadente esmaga-se na Terra
											e surge uma bolha hedionda.
											Arrasta-se, salta, escorrega, desliza.
											É imparável:
											armas, fogo, temperaturas extremas...
											seja o que for que lhe atiremos,
											ela reconstitui-se
e continua em movimento.
									","
											Eine Sternschnuppe stürzt auf die Erde
											und ein hässlicher Klecks tritt hervor.
											Er kriecht, springt, gleitet und rutscht.
											Und er ist nicht zu stoppen:
											Waffen, Feuer, Hitze, Kälte ...
											egal was du ihm entgegen wirfst,
											er wächst wieder und tobt herum.
											Sein Wachstum ist atemberaubend;
									",Can you solve the unstoppable blob riddle?,Daniel Finkel,3:24,"animation,TED-Ed,math"
"
","
","
","
","
","
",Can you solve the unstoppable blob riddle?,Daniel Finkel,3:24,"animation,TED-Ed,math"
"
											Its expansion is breathtaking;
											it doubles in size every hour.
											But there’s one opportunity:
											after each hour, it goes to sleep,
											forming itself into a flat triangle
											and resting for a few minutes
											before it begins eating and growing again.
									","
											Sa croissance est vertigineuse ;
											sa taille double toutes les heures.
											Mais il y a une possibilité :
											chaque heure, il s'endort,
											se mettant sous la forme
d'un triangle plat
											pour se reposer pendant quelques minutes
											avant de continuer à manger et à grandir.
									","
											Gelişimi nefes kesiciydi;
											her saat boyutunu ikiye katlıyordu.
											Fakat bir fırsat vardı;
											her saatten sonra uykuya gidip
											dümdüz bir üçgen şekli alır
											ve tekrar yeyip büyüme başlamadan önce
											birkaç dakika dinlenirdi.
									","
											Su expansión es sobrecogedora;
											dobla su tamaño cada hora.
											Pero hay una oportunidad:
											después de cada hora, se va a dormir,
											formando un triángulo plano
											y descansa por un par de minutos
											antes de empezar a comer 
y crecer de nuevo.
									","
											A sua expansão é de cortar a respiração:
											duplica de tamanho a cada hora.
											Mas há uma possibilidade:
											ao fim de cada hora, vai dormir,
											e adquire a forma de um triângulo plano.
											Descansa alguns minutos,
											antes de começar a comer
e a crescer outra vez.
									","
											seine Größe verdoppelt sich stündlich.
											Aber es gibt eine Möglichkeit:
											Nach jeder Stunde geht er schlafen,
											macht sich zu einem flachen Dreieck
											und rastet einige Minuten,
											bevor er wieder isst und wächst.
											Die einzige Chance, den Planeten
zu retten, ist das Teilen des Klecks
									",Can you solve the unstoppable blob riddle?,Daniel Finkel,3:24,"animation,TED-Ed,math"
"
","
","
","
","
","
",Can you solve the unstoppable blob riddle?,Daniel Finkel,3:24,"animation,TED-Ed,math"
"
											Your only chance to save the planet
											involves a satellite-mounted nano-fission
ray that can cut through the blob.
											When the blog is active
											it heals itself within seconds.
											However, when you break the sleeping 
blob into two triangles,
											you make a critical discovery.
											The acute triangle portion,
											with all angles less than 90 degrees, 
is inert.
											It never “wakes up.”
											The obtuse triangle,
											which has an angle greater 
than 90 degrees,
											wakes up as usual and keeps growing.
											Similar experiments show that all shapes 
other than acute triangles,
											including right triangles, 
will also wake up.
									","
											Votre seule chance de sauver
la planète est un satellite qui,
											doté d'un rayon à nano-fission,
peut découper le monstre.
											Lorsque le monstre est réveillé,
											il se soigne en quelques secondes.
											Mais lorsque vous découpez
le monstre endormi en deux triangles,
											vous faites une découverte capitale.
											Le triangle aigu,
											dont tous les angles mesurent
moins de 90 degrés, est inerte.
											Il ne se « réveille pas ».
											Le triangle obtus,
											qui a un angle plus grand que 90 degrés,
											se réveille et continue à grossir.
											Des expériences montrent que
toutes les autres formes de triangle,
											sauf les triangles obtus,
											mais y compris les triangles rectangles,
le réveilleront aussi.
									","
											Gezegeni kurtarmak için tek şansın
											toparlağı kesecek uydu monteli 
bir nano-fizyon ışınını içeriyor.
											Toparlak aktifken
											kendini saniyeler içinde iyileştiriyor.
											Bununla birlikte,
uyuyan toparlağı iki üçgene böldüğünüzde
											kritik bir keşif yapıyorsunuz.
											Açıları 90 dereceden küçük olan
											tüm dar açılı üçgen kısımları etkisiz.
											Asla ""uyanmıyor"".
											90 dereceden büyük açılara sahip
											geniş açılı üçgen
											normal bir şekilde uyanıp 
büyümeye devam ediyordu.
											Benzer deneyler 
dik açılı üçgenler de dahil,
											dar açılı üçgen dışında diğer 
şekillerin de uyanacağını gösteriyor.
									","
											Tu única oportunidad de salvar el planeta
											implica un rayo de nano-fisión en 
un satélite capaz de atravesar la masa.
											Cuando la masa está activa
											se cura a sí misma en segundos.
											Sin embargo, cuando separas la masa
dormida en dos triángulos,
											haces un descubrimiento crítico.
											La fracción del triángulo agudo
											con todos los ángulos menores de
90 grados está inerte.
											Nunca ""despierta"".
											El triángulo obtuso,
											que tiene un ángulo mayor de 90 grados,
											despierta como de costumbre y
continúa creciendo.
											Experimentos similares muestran que todas
las formas que no sean triángulos agudos,
											incluyendo triángulos rectángulos,
también despertarán.
									","
											A tua única oportunidade
para salvar o planeta
											envolve um raio de nano-fissão
montado num satélite
											que pode cortar a bolha.
											Quando a bolha está ativa,
											cura-se em segundos.
											Mas, se cortares a bolha
adormecida em dois triângulos,
											fazes uma descoberta fundamental.
											A parte do triângulo acutângulo
											em que todos os ângulos
medirem menos de 90 graus
											é inerte, nunca ""acorda"".
											O triângulo obtusângulo
											que tem um ângulo maior
do que 90 graus,
											acorda como é habitual
e continua a crescer.
											Experiências semelhantes
mostram que todas as formas
											diferentes de triângulos acutângulos,
											incluindo triângulos retângulos,
também acordarão.
									","
											mit einem auf einem Satelliten
befestigten Nano-Teilungs-Strahler.
											Ist der Klecks aktiv,
											heilt er sich in Sekunden.
											Aber als du den schlafenden Klecks
in zwei Dreiecke teilst,
											machst du eine wichtige Entdeckung.
											Der spitzwinklige Teil, dessen Winkel
kleiner als 90 Grad sind, ist inaktiv.
											Er wacht nie auf.
											Das stumpfwinklige Dreieck,
											das einen Winkel mit mehr als 90 Grad hat,
											wacht wie üblich auf und wächst weiter.
											Ähnliche Experimente zeigen,
dass alle anderen Formen,
											auch die rechtwinkligen Dreiecke, 
immer aufwachen.
											In den nächsten Minuten
											schläft der Klecks als stumpfes Dreieck.
									",Can you solve the unstoppable blob riddle?,Daniel Finkel,3:24,"animation,TED-Ed,math"
"
","
","
","
","
","
",Can you solve the unstoppable blob riddle?,Daniel Finkel,3:24,"animation,TED-Ed,math"
"
											For the next few minutes,
											the blob is sleeping in its 
obtuse triangle form.
											You can make clean, straight-line cuts
											between any two points 
on or inside the triangle.
											But you’ll only have time to make 
7 cuts while the satellite is above you.
											By the time it completes 
its orbit and returns,
											the blob will have consumed 
the entire world,
											if even a single portion that 
will wake up remains.
									","
											Lors des prochaines minutes,
											le monstre va dormir sous sa forme
de triangle obtus.
											Vous pouvez faire des coupes
droites et nettes
											entre deux points n'importe où
sur ou dans le triangle.
											Mais le satellite sera au-dessus de vous
seulement le temps de sept découpes.
											Le temps que le satellite complète
son orbite et revienne,
											le monstre aura dévoré le monde entier,
											si ne serait-ce qu'une petite partie
de lui reste et se réveille.
									","
											Gelecek birkaç dakika için
											toparlak dar açılı üçgen 
şeklinde uyuyacak.
											İki nokta arasında ya da üçgenin içinde
											dümdüz ve temiz kesikler yapabilirsin.
											Uydu üstüne gelmeden önce 
sadece 7 kesik yapabilecek vaktin var.
											Yörüngeyi tamamlayıp geri döndüğünde,
											tek bir uyanan parça kalsa bile,
											toparlak tüm dünyayı tüketmiş olur.
									","
											Durante los próximos minutos
											la masa estará durmiendo
en su forma de triángulo obtuso.
											Puedes hacer cortes limpios, 
en línea recta
											entre dos puntos cualquiera o
en el interior del triángulo.
											Pero solo tendrás tiempo 
para hacer siete cortes
											mientras el satélite esté sobre ti.
											Para cuando complete
su órbita y regrese,
											la masa se habrá comido el mundo entero,
											incluso si solo una pequeña 
fracción continúa despierta.
									","
											Durante os poucos minutos
											em que a bolha está a dormir
na sua forma de triângulo obtusângulo,
											podes fazer cortes
											entre quaisquer dois pontos
mesmo no interior do triângulo.
											Mas só tens tempo
para fazer sete cortes,
											enquanto o satélite está por cima de ti.
											Na altura em que ele completar
a sua órbita e regressar,
											já a bolha terá consumido
o mundo inteiro,
											mesmo que só tenha restado
uma pequena porção, quando acordar.
									","
											Du kannst gerade Schnitte
											zwischen allen zwei Punkten 
auf oder in dem Dreieck machen.
											Aber der Satellit ist nur
für sieben Schnitte verfügbar.
											Nachdem er seine Umlaufbahn
beendet hat und zurückkommt,
											wird der Klecks die ganze Welt
verschlungen haben,
											auch wenn nur ein Teil von ihm aufwacht.
											Wie kannst du den gesamten Klecks
in spitzwinklige Dreiecke teilen
											und ihn davon abhalten,
den Planeten zu zerstören?
									",Can you solve the unstoppable blob riddle?,Daniel Finkel,3:24,"animation,TED-Ed,math"
"
","
","
","
","
","
",Can you solve the unstoppable blob riddle?,Daniel Finkel,3:24,"animation,TED-Ed,math"
"
											How can you cut the blob entirely 
into acute triangles
											and stop it from destroying the planet?
									","
											Comment pouvez-vous découper entièrement
le monstre en triangles aigus
											pour l'empêcher de détruire le monde ?
									","
											Toparlağın tamamını 
dar açılı üçgenlere bölüp
											gezegeni yok etmesini nasıl engellersiniz?
									","
											¿Cómo puedes cortar la masa 
completamente en triángulos agudos
											y evitar que destruya el planeta?
									","
											Como é que podes cortar a bolha
totalmente em triângulos acutângulos
											e impedi-la de destruir o planeta?
									","
											Pausiere das Video jetzt, 
um es selbst herauszufinden.
											Antwort in 3
									",Can you solve the unstoppable blob riddle?,Daniel Finkel,3:24,"animation,TED-Ed,math"
"
","
","
","
","
","
",Can you solve the unstoppable blob riddle?,Daniel Finkel,3:24,"animation,TED-Ed,math"
"
											Pause the video now 
to figure out for yourself
											Answer in 3
											Answer in 2
											Answer in 1
									","
											Mettez la vidéo en pause
pour trouver la solution.
											Réponse dans 3
											Réponse dans 2
											Réponse dans 1
									","
											Kendiniz çözmek için videoyu durdurun.
											Cevap için 3
											Cevap için 2
											Cevap için 1
									","
											Pausa el video si quieres resolverlo.
											Respuesta en: 3
											Respuesta en: 2
											Respuesta en: 1
									","
											[Suspende aqui o vídeo,
para o resolver sozinho.]
											[Resposta em: 3
											[Resposta em: 2
											[Resposta em: 1
									","
											Antwort in 2
											Antwort in 1
											Das sieht erst einfach aus,
											aber es gibt eine Schwierigkeit, 
stumpfe und rechte Winkel zu vermeiden.
									",Can you solve the unstoppable blob riddle?,Daniel Finkel,3:24,"animation,TED-Ed,math"
"
","
","
","
","
","
",Can you solve the unstoppable blob riddle?,Daniel Finkel,3:24,"animation,TED-Ed,math"
